word,homestuck_prop,unigram_prop,ratio,homestuck_count,unigram_count
sessed,5.9234547e-06,5.2301876e-08,113.255,5,30760
haberdasher,4.7387638e-06,4.1863605e-08,113.195,4,24621
jectives,3.5540728e-06,3.1573262e-08,112.566,3,18569
mys,3.5540728e-05,3.1625802e-07,112.379,30,185999
everyt,4.7387638e-06,4.2411108e-08,111.734,4,24943
ghostbuster,3.5540728e-06,3.2066355e-08,110.835,3,18859
leprechauns,1.5400982e-05,1.3918998e-07,110.647,13,81861
possi,4.3833565e-05,3.9790744e-07,110.16,37,234019
smoosh,4.7387638e-06,4.3535021e-08,108.849,4,25604
messaged,1.1846909e-05,1.0919632e-07,108.492,10,64221
cosplaying,2.3693819e-06,2.1912038e-08,108.132,2,12887
uhhhh,1.0662219e-05,9.8943383e-08,107.761,9,58191
tock,4.6202947e-05,4.3050089e-07,107.324,39,253188
priviliged,2.3693819e-06,2.2122877e-08,107.101,2,13011
ollies,3.5540728e-06,3.3210671e-08,107.016,3,19532
pfff,3.5540728e-06,3.3248078e-08,106.896,3,19554
blam,2.9617274e-05,2.7730536e-07,106.804,25,163090
fisticuffs,9.4775276e-06,8.9203944e-08,106.246,8,52463
htlaeh,2.3693819e-06,2.2328616e-08,106.114,2,13132
clusterfuck,1.1846909e-05,1.1170259e-07,106.058,10,65695
werent,4.0279492e-05,3.8017989e-07,105.949,34,223593
iin,3.791011e-05,3.5868783e-07,105.691,32,210953
hellacious,4.7387638e-06,4.490718e-08,105.524,4,26411
scamper,1.5400982e-05,1.4633303e-07,105.246,13,86062
fuckin,0.0003400063,3.2384689e-06,104.99,287,1904622
responsi,2.6063201e-05,2.4831659e-07,104.96,22,146041
fucky,3.5540728e-06,3.3861894e-08,104.958,3,19915
fraternizing,2.3693819e-06,2.2602368e-08,104.829,2,13293
wuh,3.5540728e-06,3.4028525e-08,104.444,3,20013
mosta,3.5540728e-06,3.4147548e-08,104.08,3,20083
doodad,3.5540728e-06,3.421046e-08,103.888,3,20120
strider,7.2266148e-05,6.9843578e-07,103.469,61,410767
theyre,7.5820221e-05,7.3421564e-07,103.267,64,431810
posthaste,2.3693819e-06,2.2950934e-08,103.237,2,13498
